numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;eleInv;0, 0, 0, 0, 0;0, 0, 0, 0, 0;1, 1, 1, 1, 1;0.017, 0.0079, 0.0069, 0.0066, 0.0077
8.0;4000;eleInv;0, 3, 0, 3, 2, 0, 1, 0;0, 0, 0, 0, 0, 0, 3, 0;1, 1, 1, 1, 1, 1, 1, 1;0.0172, 0.0165, 0.0088, 0.0137, 0.0084, 0.0083, 0.0081, 0.0083
11.0;8000;eleInv;0, 3, 0, 3, 0, 3, 3, 0, -1, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0154, 0.0132, 0.0078, 0.0114, 0.0076, 0.0096, 0.0104, 0.01, 0.0083, 0.0082, 0.0083
13.0;12000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 2, 2, 3, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.037, 0.0357, 0.0237, 0.0246, 0.0284, 0.0241, 0.0205, 0.0186, 0.0166, 0.0171, 0.0149, 0.016, 0.0158
13.0;16000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 2, 0;0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0158, 0.0129, 0.0087, 0.0104, 0.0076, 0.0094, 0.0084, 0.0099, 0.0093, 0.009, 0.0099, 0.0084, 0.0099
17.0;20000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 2, 1, 3, 1;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 3, 3, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0157, 0.0128, 0.0081, 0.0104, 0.0079, 0.0097, 0.0092, 0.0097, 0.0094, 0.0107, 0.0099, 0.0078, 0.0072, 0.0077, 0.007, 0.0087, 0.0079
16.0;24000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 1, 0, 4, 2, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 3, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0162, 0.0147, 0.0089, 0.012, 0.0097, 0.0115, 0.009, 0.0104, 0.0081, 0.0097, 0.0104, 0.007, 0.0078, 0.0073, 0.007, 0.0145
16.0;28000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 0, -1, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 1, 1, 1, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0157, 0.0132, 0.0086, 0.0102, 0.0078, 0.0096, 0.009, 0.0106, 0.0088, 0.0109, 0.0093, 0.0086, 0.0087, 0.0085, 0.0081, 0.007
15.0;32000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, -1, 2, 3, 2, 0;0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 3, 3, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0166, 0.0129, 0.0082, 0.0099, 0.0078, 0.0094, 0.008, 0.01, 0.0079, 0.0091, 0.0075, 0.007, 0.008, 0.0073, 0.008
17.0;36000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 3, -1, 1, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 2, 1, 1, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0159, 0.0132, 0.0086, 0.0101, 0.008, 0.01, 0.0098, 0.0095, 0.0092, 0.0107, 0.0089, 0.0106, 0.0097, 0.0095, 0.0093, 0.01, 0.0079
17.0;40000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0155, 0.0128, 0.0084, 0.01, 0.0081, 0.0141, 0.0096, 0.0097, 0.0097, 0.0107, 0.0088, 0.0102, 0.0082, 0.0114, 0.0087, 0.0089, 0.0062
14.0;44000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0166, 0.0129, 0.0078, 0.0101, 0.008, 0.0095, 0.0081, 0.0092, 0.0102, 0.0092, 0.0088, 0.01, 0.0086, 0.0083
17.0;48000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 0, 3, 2, -1, 0, 0;0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 3, 1, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0173, 0.0134, 0.0087, 0.011, 0.0084, 0.0153, 0.0076, 0.0088, 0.0079, 0.0099, 0.0079, 0.0089, 0.0086, 0.0076, 0.0091, 0.0085, 0.007
18.0;52000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 4, 0, 0, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 3, 1, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0148, 0.0131, 0.0079, 0.01, 0.0079, 0.0105, 0.0097, 0.008, 0.0079, 0.0088, 0.0073, 0.012, 0.0078, 0.0086, 0.008, 0.0083, 0.0074, 0.0122
17.0;56000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 1, 3, 1;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 1, 1, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0151, 0.0137, 0.0094, 0.0105, 0.0087, 0.0099, 0.0088, 0.0096, 0.0096, 0.0112, 0.0092, 0.0089, 0.0083, 0.0083, 0.0089, 0.0077, 0.0071
17.0;60000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 0, 2, 2;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0166, 0.0125, 0.0081, 0.0101, 0.0084, 0.0103, 0.0088, 0.0094, 0.0092, 0.0104, 0.009, 0.01, 0.0086, 0.0098, 0.01, 0.0109, 0.0093
21.0;64000;eleInv;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 0, 3, 3, 0, 3, 0, 0;0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 1, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0149, 0.0135, 0.0082, 0.0103, 0.0082, 0.01, 0.0097, 0.0161, 0.0093, 0.0107, 0.0097, 0.0106, 0.0086, 0.0152, 0.0123, 0.0103, 0.0089, 0.0079, 0.0104, 0.0067, 0.0068
11.0;68000;eleInv;0, 3, 0, 3, 1, 2, 3, 0, 3, 0, 0;0, 0, 0, 0, 2, 0, 0, 3, 2, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0149, 0.0131, 0.0087, 0.0104, 0.0088, 0.0091, 0.0069, 0.0089, 0.0085, 0.0087, 0.0065
12.0;72000;eleInv;0, 3, 0, 3, 1, 3, 0, 2, 0, 3, 3, 0;0, 0, 0, 0, 2, 0, 0, 3, 3, 1, 1, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0218, 0.019, 0.0126, 0.0154, 0.0129, 0.0131, 0.0162, 0.0128, 0.0128, 0.0114, 0.0145, 0.0098
10.0;76000;eleInv;0, 3, 0, 3, 1, 3, 0, 1, 3, 2;0, 0, 0, 0, 2, 1, 1, 2, 1, 2;1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0159, 0.013, 0.0079, 0.0098, 0.0082, 0.0086, 0.0106, 0.0075, 0.0073, 0.0078
12.0;80000;eleInv;0, 3, 0, 3, 1, 1, 3, 1, -1, 3, 0, 0;0, 0, 0, 0, 2, 0, 0, 1, 1, 2, 0, 0;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;0.0163, 0.014, 0.0091, 0.0108, 0.0093, 0.0085, 0.0082, 0.0082, 0.0104, 0.0148, 0.0113, 0.0097
