numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;te;0, 0, 0, 0, 0;0, 0, 0, 0, 0;5, 5, 5, 5, 5;6.3539, 0.1866, 0.1313, 0.1508, 0.1227
8.0;5000;te;0, 3, -1, 2, 0, -1, 3, 0;0, 0, 1, 1, 3, 1, 3, 0;5, 5, 5, 5, 5, 5, 5, 5;0.0281, 0.014, 0.0079, 0.0117, 0.0064, 0.0075, 0.0069, 0.0072
9.0;10000;te;0, 3, -1, 2, 3, 2, 0, -1, 2;0, 0, 1, 1, 3, 1, 3, 1, 0;5, 5, 5, 5, 5, 5, 5, 5, 5;0.0178, 0.0118, 0.0081, 0.0079, 0.0073, 0.0074, 0.007, 0.0075, 0.0084
12.0;15000;te;0, 3, -1, 2, 0, 3, -1, 2, 4, 1, 0, 0;0, 0, 1, 1, 3, 3, 1, 1, 3, 3, 0, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0154, 0.013, 0.0093, 0.0092, 0.0087, 0.0096, 0.0096, 0.0095, 0.0098, 0.0138, 0.0089, 0.0077
12.0;20000;te;0, 3, -1, 2, 0, 3, -1, 2, 4, 1, 2, 0;0, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.014, 0.012, 0.0085, 0.0083, 0.0077, 0.0092, 0.0082, 0.0084, 0.0088, 0.0125, 0.0075, 0.007
13.0;25000;te;0, 3, -1, 2, 0, -1, 3, 2, 1, 4, 3, 0, 1;0, 0, 1, 1, 3, 1, 3, 1, 3, 3, 1, 1, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0146, 0.0124, 0.0087, 0.0082, 0.0083, 0.0089, 0.0078, 0.0082, 0.0085, 0.0127, 0.0097, 0.0076, 0.0135
15.0;30000;te;0, 3, -1, 2, 3, 2, 0, -1, 4, 1, 2, 3, 0, 1, 2;0, 0, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 3, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0158, 0.0139, 0.0088, 0.0092, 0.0088, 0.01, 0.0078, 0.0083, 0.0095, 0.0124, 0.0093, 0.0087, 0.0113, 0.0093, 0.0083
13.0;35000;te;0, 3, -1, 2, 3, 0, -1, 2, 4, 1, 3, 0, 0;0, 0, 1, 1, 3, 3, 1, 1, 3, 3, 1, 1, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0144, 0.0118, 0.008, 0.0079, 0.0078, 0.0077, 0.0088, 0.0079, 0.0084, 0.0125, 0.009, 0.0075, 0.0082
18.0;40000;te;0, 3, -1, 2, 0, 3, 2, -1, 1, 4, 2, 3, -1, 0, 4, 2, 0, 0;0, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 0, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0143, 0.013, 0.0082, 0.0086, 0.008, 0.0087, 0.0085, 0.0085, 0.009, 0.0127, 0.0095, 0.0083, 0.0092, 0.0109, 0.0102, 0.0085, 0.0101, 0.0082
17.0;45000;te;0, 3, -1, 2, 3, 2, 0, -1, 1, 4, 3, 2, -1, 0, 4, -1, 0;0, 0, 1, 1, 3, 1, 3, 1, 3, 3, 1, 3, 1, 1, 3, 1, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0158, 0.0198, 0.0093, 0.0096, 0.008, 0.009, 0.0089, 0.0122, 0.0094, 0.013, 0.0099, 0.0077, 0.0093, 0.011, 0.011, 0.0094, 0.0091
