numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;ele;0, 0, 0, 0, 0;0, 0, 0, 0, 0;2, 2, 2, 2, 2;0.0085, 0.0055, 0.0051, 0.005, 0.0051
11.0;4000;ele;0, 3, 0, 3, 3, 0, 1, 2, 0, 0, 0;0, 0, 0, 0, 0, 2, 0, 1, 3, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0148, 0.0133, 0.0086, 0.0122, 0.008, 0.009, 0.0076, 0.0078, 0.0081, 0.0077, 0.0078
14.0;8000;ele;0, 3, 0, 3, 0, 3, 0, 3, 0, 2, 3, 2, 1, 1;0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 2, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0158, 0.0123, 0.0082, 0.0099, 0.0083, 0.0104, 0.0086, 0.0097, 0.008, 0.0089, 0.0096, 0.0088, 0.0083, 0.0087
14.0;12000;ele;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.014, 0.0117, 0.0078, 0.0095, 0.0079, 0.0099, 0.0085, 0.0094, 0.0081, 0.01, 0.0088, 0.0104, 0.007, 0.0074
17.0;16000;ele;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, -1, 0, 3, 3, 2;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 2;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0146, 0.0126, 0.0077, 0.0097, 0.0078, 0.0106, 0.0083, 0.0095, 0.0085, 0.0136, 0.0089, 0.0164, 0.0078, 0.0078, 0.0086, 0.0093, 0.0084
10.0;20000;ele;0, 3, 0, 3, 3, 2, 0, 3, -1, 0;0, 0, 0, 0, 3, 2, 0, 2, 1, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0165, 0.0155, 0.0095, 0.0119, 0.0103, 0.0108, 0.0089, 0.0083, 0.0095, 0.0056
13.0;24000;ele;0, 3, 0, 3, 3, 2, 3, 0, 1, -1, 4, 1, 0;0, 0, 0, 0, 3, 2, 0, 2, 2, 1, 3, 2, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0166, 0.0151, 0.0095, 0.0113, 0.0102, 0.0107, 0.0094, 0.0127, 0.0086, 0.009, 0.0093, 0.0105, 0.0077
11.0;28000;ele;0, 3, 0, 3, 3, 2, 2, 1, 0, 3, 0;0, 0, 0, 0, 3, 2, 0, 0, 0, 1, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0164, 0.0125, 0.0081, 0.0104, 0.0081, 0.0083, 0.0082, 0.0085, 0.0091, 0.0106, 0.0089
13.0;32000;ele;0, 3, 0, 3, 3, 2, 2, 0, 4, -1, 3, 2, 0;0, 0, 0, 0, 3, 2, 3, 3, 3, 1, 1, 3, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0166, 0.0133, 0.0089, 0.0108, 0.0091, 0.0094, 0.009, 0.0094, 0.0106, 0.0117, 0.0095, 0.0093, 0.0178
16.0;36000;ele;0, 3, 0, 3, 3, 2, 4, 0, -1, 0, 3, 3, 0, 1, 3, 0;0, 0, 0, 0, 3, 2, 3, 3, 1, 2, 0, 2, 0, 2, 1, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0164, 0.0137, 0.0089, 0.0113, 0.0099, 0.0098, 0.0099, 0.0125, 0.0111, 0.0087, 0.0085, 0.011, 0.008, 0.0073, 0.0072, 0.008
13.0;40000;ele;0, 3, 0, 3, 3, 2, 2, 0, 4, -1, 3, 2, 0;0, 0, 0, 0, 3, 2, 3, 3, 3, 1, 1, 3, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0147, 0.0121, 0.0083, 0.0096, 0.0085, 0.0081, 0.0085, 0.0086, 0.0103, 0.0113, 0.0084, 0.0084, 0.0091
15.0;44000;ele;0, 3, 0, 3, 3, 2, 2, -1, 2, 4, -1, 0, 3, 0, 0;0, 0, 0, 0, 3, 2, 0, 1, 2, 3, 1, 2, 2, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0151, 0.013, 0.0082, 0.0101, 0.009, 0.0073, 0.0071, 0.0076, 0.0072, 0.0068, 0.0073, 0.0074, 0.0087, 0.009, 0.0084
16.0;48000;ele;0, 3, 0, 3, 3, 2, 1, 0, 3, 4, -1, 1, 0, 4, 3, 0;0, 0, 0, 0, 3, 2, 0, 0, 3, 3, 1, 0, 0, 3, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0165, 0.0137, 0.0097, 0.0115, 0.0103, 0.008, 0.0078, 0.0101, 0.0079, 0.0143, 0.0093, 0.0083, 0.0072, 0.0065, 0.0085, 0.0073
12.0;52000;ele;0, 3, 0, 3, 3, 2, 2, 2, -1, -1, 0, 0;0, 0, 0, 0, 3, 2, 1, 2, 1, 1, 3, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0134, 0.0108, 0.0066, 0.0082, 0.0068, 0.007, 0.0075, 0.008, 0.0077, 0.0076, 0.0077, 0.0078
11.0;56000;ele;0, 3, 0, 3, 3, 2, 2, 0, 3, 0, 4;0, 0, 0, 0, 3, 2, 1, 1, 1, 2, 3;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0157, 0.0129, 0.009, 0.01, 0.0089, 0.009, 0.0094, 0.0089, 0.0095, 0.0096, 0.0102
15.0;60000;ele;0, 3, 0, 3, 3, 2, 3, 0, 3, 0, 4, 0, -1, 1, 0;0, 0, 0, 0, 3, 2, 0, 0, 3, 3, 3, 0, 1, 2, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0158, 0.0125, 0.0081, 0.0101, 0.0085, 0.0085, 0.0084, 0.0101, 0.0084, 0.0099, 0.0092, 0.0087, 0.0119, 0.0084, 0.0089
11.0;64000;ele;0, 3, 0, 3, 3, 2, 3, 0, 1, 3, 2;0, 0, 0, 0, 3, 2, 2, 1, 3, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0149, 0.0134, 0.0084, 0.0104, 0.0088, 0.0089, 0.0089, 0.0088, 0.0102, 0.0162, 0.0107
11.0;68000;ele;0, 3, 0, 3, 3, 2, 0, 2, 3, 0, 4;0, 0, 0, 0, 3, 2, 1, 1, 1, 2, 3;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0158, 0.0133, 0.0081, 0.0104, 0.0086, 0.0089, 0.0097, 0.0088, 0.0084, 0.0088, 0.0132
17.0;72000;ele;0, 3, 0, 3, 3, 2, 4, 0, -1, 1, 2, 0, 2, 4, 0, 3, 0;0, 0, 0, 0, 3, 2, 3, 3, 1, 0, 0, 2, 3, 3, 0, 0, 0;2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2;0.0143, 0.0125, 0.0082, 0.0101, 0.0083, 0.0086, 0.0081, 0.0109, 0.0102, 0.0099, 0.01, 0.0077, 0.0101, 0.0111, 0.0086, 0.011, 0.0084
