numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;gusanoInv;0, 0, 0, 0, 0;0, 0, 0, 0, 0;6, 6, 6, 6, 6;8.418, 0.2074, 0.144, 0.1519, 0.1145
4.0;500;gusanoInv;0, 1, 0, 0;1, 3, 1, 0;6, 6, 6, 6;0.0348, 0.0101, 0.0143, 0.0094
7.0;1000;gusanoInv;2, 1, 1, -1, 0, -1, 1;3, 1, 1, 1, 3, 1, 0;6, 6, 6, 6, 6, 6, 6;0.043, 0.0102, 0.0083, 0.0078, 0.0073, 0.0081, 0.0083
7.0;1500;gusanoInv;2, 2, 2, -1, -1, -1, 1;3, 3, 3, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6;0.0212, 0.0095, 0.0093, 0.0088, 0.0078, 0.0067, 0.0076
10.0;2000;gusanoInv;2, 0, 2, -1, 0, 3, 1, 0, 0, 0;1, 1, 1, 1, 0, 3, 1, 0, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0157, 0.0082, 0.0097, 0.0163, 0.0081, 0.008, 0.009, 0.0061, 0.0075, 0.0073
10.0;2500;gusanoInv;2, 0, 2, -1, 2, 0, 1, 0, 0, 0;1, 1, 1, 1, 1, 0, 1, 0, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0142, 0.0076, 0.0075, 0.037, 0.0089, 0.0072, 0.0089, 0.0062, 0.007, 0.0072
9.0;3000;gusanoInv;2, 0, 3, 1, 0, -1, 1, 0, 0;1, 1, 3, 1, 3, 1, 0, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6;0.0112, 0.0053, 0.0057, 0.0053, 0.0106, 0.0083, 0.0054, 0.0053, 0.0054
10.0;3500;gusanoInv;2, 0, 3, 2, 0, -1, 1, 2, 1, 0;1, 1, 3, 3, 3, 1, 1, 3, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0127, 0.0052, 0.0055, 0.0056, 0.0109, 0.0083, 0.0044, 0.0041, 0.0045, 0.0049
10.0;4000;gusanoInv;2, 0, 3, 2, -1, -1, 0, -1, 0, 0;1, 1, 3, 3, 1, 1, 3, 1, 0, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0123, 0.0072, 0.0069, 0.0064, 0.0115, 0.0079, 0.0074, 0.0043, 0.0048, 0.0048
10.0;4500;gusanoInv;2, 0, 3, 2, -1, -1, 2, 1, 1, 0;1, 1, 3, 3, 1, 1, 3, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0156, 0.0099, 0.0065, 0.0071, 0.0139, 0.0103, 0.007, 0.0057, 0.0056, 0.0066
11.0;5000;gusanoInv;0, 3, 2, 1, 2, -1, -1, 1, 1, -1, 0;1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 0;6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6;0.0124, 0.0079, 0.0078, 0.0064, 0.0068, 0.0097, 0.0078, 0.0049, 0.0057, 0.0052, 0.0052
