numeroIteracionMaxima;tipoDePartida;tipoFinal;tiempos;numeroPiezas;listaDePiezasSacadas;movimientoLs;girosLs
6;gusanoInv;!final_Por_AlturaMaxima;0.015, 0.0134, 0.0139, 0.013, 0.0135, 0.0135;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0127, 0.0137, 0.0144, 0.0128, 0.0129, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0134, 0.0131, 0.0132, 0.0126, 0.0133, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0118, 0.014, 0.0132, 0.0133, 0.0128, 0.0153;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0125, 0.0126, 0.0135, 0.0128, 0.0129, 0.0123;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0133, 0.0141, 0.0136, 0.013, 0.0133, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0119, 0.0132, 0.0133, 0.0127, 0.0129, 0.0128;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0127, 0.0133, 0.0133, 0.0124, 0.0129, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.012, 0.013, 0.0139, 0.0134, 0.013, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0119, 0.0128, 0.0134, 0.0127, 0.0128, 0.0123;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
