numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;gusano;0, 0, 0, 0, 0;0, 0, 0, 0, 0;4, 4, 4, 4, 4;0.006, 0.0044, 0.0045, 0.0043, 0.0043
8.0;4000;gusano;0, 0, 0, 0, 3, 2, 3, 3;0, 0, 0, 0, 2, 1, 0, 0;4, 4, 4, 4, 4, 4, 4, 4;0.0109, 0.0079, 0.0076, 0.0073, 0.008, 0.0078, 0.007, 0.0063
9.0;8000;gusano;0, 0, 0, 0, 3, 3, 3, 3, 0;0, 0, 0, 0, 0, 0, 0, 0, 0;4, 4, 4, 4, 4, 4, 4, 4, 4;0.0105, 0.0071, 0.0075, 0.0071, 0.0088, 0.0075, 0.007, 0.0079, 0.0074
9.0;12000;gusano;0, 0, 0, 0, 3, 3, 3, 3, 0;0, 0, 0, 0, 0, 0, 0, 3, 0;4, 4, 4, 4, 4, 4, 4, 4, 4;0.0175, 0.0081, 0.0072, 0.0084, 0.008, 0.0082, 0.0073, 0.0081, 0.0094
8.0;16000;gusano;0, 0, 0, 0, 2, 3, 2, 1;0, 0, 0, 0, 1, 2, 1, 0;4, 4, 4, 4, 4, 4, 4, 4;0.0123, 0.0072, 0.0073, 0.0072, 0.0073, 0.009, 0.0064, 0.0064
8.0;20000;gusano;0, 0, 0, 0, 2, 3, 3, 0;0, 0, 0, 0, 1, 0, 0, 0;4, 4, 4, 4, 4, 4, 4, 4;0.013, 0.0086, 0.0085, 0.0087, 0.0085, 0.0091, 0.0087, 0.0076
8.0;24000;gusano;0, 0, 0, 0, 3, 2, 3, 0;0, 0, 0, 0, 0, 1, 0, 0;4, 4, 4, 4, 4, 4, 4, 4;0.0098, 0.0048, 0.0052, 0.0056, 0.0053, 0.0064, 0.0058, 0.0053
9.0;28000;gusano;0, 0, 0, 0, 3, 3, 2, 3, 0;0, 0, 0, 0, 0, 0, 1, 3, 0;4, 4, 4, 4, 4, 4, 4, 4, 4;0.0118, 0.0075, 0.0068, 0.0081, 0.008, 0.008, 0.0074, 0.0081, 0.0071
9.0;32000;gusano;0, 0, 0, 0, 3, 3, 2, 3, 0;0, 0, 0, 0, 0, 0, 1, 3, 0;4, 4, 4, 4, 4, 4, 4, 4, 4;0.0119, 0.008, 0.0074, 0.008, 0.0082, 0.0082, 0.0074, 0.0074, 0.0085
9.0;36000;gusano;0, 0, 0, 0, 3, 3, 3, 3, 0;0, 0, 0, 0, 0, 0, 0, 2, 0;4, 4, 4, 4, 4, 4, 4, 4, 4;0.0126, 0.0084, 0.0084, 0.0089, 0.0086, 0.0089, 0.008, 0.0091, 0.0078
